coordinates,name,address,rating,id,searchterm,populartimes,rating_n,types
"{'lat': 1.3403385, 'lng': 103.7384539}",KJM Curry House,"217A Jurong East Street 21, Singapore 601217",3.9,ChIJWxHvMRoQ2jERgJklyeIf1uY,"KJM Curry House 217A Jurong East Street 21, Singapore 601217","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 11, 16, 22, 26, 28, 28, 23, 18, 14, 11, 14, 25, 42, 54, 50, 35, 20, 10]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 14, 19, 23, 28, 30, 31, 29, 26, 22, 19, 19, 25, 37, 51, 59, 53, 37, 20]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 9, 15, 22, 29, 34, 34, 31, 26, 22, 20, 22, 32, 43, 51, 50, 40, 26, 15]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 14, 20, 23, 26, 27, 26, 25, 24, 25, 28, 33, 39, 44, 57, 82, 71, 36, 20]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 20, 25, 29, 32, 34, 34, 31, 27, 22, 17, 16, 23, 45, 74, 88, 71, 40, 15]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 26, 33, 39, 43, 44, 42, 38, 32, 25, 20, 15, 17, 32, 61, 85, 81, 53, 24]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 11, 19, 31, 45, 57, 61, 57, 48, 37, 27, 20, 18, 31, 74, 100, 62, 20, 5]}]",41,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"{'lat': 1.3396464, 'lng': 103.7064506}",KFC Jurong Point,"1 Jurong West Central 2, #01-30 Jurong Point, Singapore 648886",3.8,ChIJmRnrx-wP2jERtLem-l0M7Rw,"KFC Jurong Point 1 Jurong West Central 2, #01-30 Jurong Point, Singapore 648886","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 1, 5, 11, 18, 25, 33, 40, 44, 44, 42, 44, 48, 53, 51, 42, 25, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 3, 9, 16, 24, 31, 37, 38, 37, 31, 29, 44, 79, 88, 74, 68, 46, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 1, 5, 12, 20, 31, 38, 44, 46, 44, 42, 48, 62, 72, 59, 50, 42, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 3, 11, 20, 27, 35, 40, 44, 46, 50, 51, 55, 70, 92, 96, 66, 25, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 1, 7, 14, 22, 27, 33, 37, 35, 31, 29, 37, 61, 90, 98, 72, 35, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 1, 12, 24, 18, 14, 22, 37, 50, 61, 64, 62, 59, 64, 88, 100, 72, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 1, 18, 38, 35, 27, 37, 51, 66, 72, 68, 55, 46, 51, 66, 72, 51, 0]}]",35,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"{'lat': 1.3439842, 'lng': 103.7381471}",McDonald’s,"256 Jurong East Street 24, Singapore 600256",4,ChIJl7u_WhgQ2jERwjBOblennB4,"McDonald’s 256 Jurong East Street 24, Singapore 600256","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 8, 17, 22, 24, 30, 43, 56, 60, 52, 43, 41, 49, 64, 79, 87, 86, 75, 58]}, {'name': 'Tuesday', 'data': [38, 21, 0, 0, 0, 0, 3, 13, 20, 22, 26, 39, 54, 61, 57, 47, 43, 48, 60, 73, 80, 77, 66, 49]}, {'name': 'Wednesday', 'data': [30, 14, 0, 0, 0, 0, 18, 37, 43, 35, 30, 35, 47, 56, 60, 60, 57, 56, 60, 66, 69, 67, 58, 45]}, {'name': 'Thursday', 'data': [29, 15, 0, 0, 0, 0, 6, 32, 50, 42, 30, 32, 43, 52, 52, 47, 41, 41, 48, 60, 72, 77, 73, 60]}, {'name': 'Friday', 'data': [43, 25, 10, 0, 11, 9, 13, 19, 27, 35, 43, 47, 49, 47, 45, 43, 44, 50, 61, 75, 88, 96, 94, 84]}, {'name': 'Saturday', 'data': [68, 49, 31, 18, 1, 7, 17, 31, 47, 63, 76, 84, 86, 83, 77, 69, 63, 60, 60, 66, 78, 90, 92, 81]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 3, 23, 52, 76, 84, 81, 80, 85, 89, 86, 80, 79, 84, 94, 100, 96, 84, 65]}]",94,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"{'lat': 1.3348187, 'lng': 103.7214866}",Feng Zhen Lor Mee 鳳珍鹵麵,"Taman Food Centre, #03-146, 3 Yung Seng Road, S 618499, Singapore",4,ChIJX9KCDfsP2jERiI4IUgJDkn4,"Feng Zhen Lor Mee 鳳珍鹵麵 Taman Food Centre, #03-146, 3 Yung Seng Road, S 618499, Singapore","[{'name': 'Monday', 'data': [1, 1, 1, 1, 1, 1, 2, 7, 9, 7, 6, 24, 61, 46, 2, 1, 1, 12, 23, 27, 22, 9, 1, 1]}, {'name': 'Tuesday', 'data': [1, 1, 1, 1, 1, 1, 7, 16, 18, 15, 12, 38, 80, 52, 2, 1, 0, 12, 24, 29, 26, 15, 2, 1]}, {'name': 'Wednesday', 'data': [1, 1, 1, 1, 1, 1, 14, 25, 30, 27, 20, 41, 96, 68, 3, 1, 1, 11, 25, 32, 29, 17, 3, 1]}, {'name': 'Thursday', 'data': [1, 1, 1, 1, 1, 2, 15, 24, 25, 19, 13, 45, 100, 62, 1, 1, 1, 11, 22, 29, 28, 21, 9, 1]}, {'name': 'Friday', 'data': [1, 1, 1, 1, 1, 2, 13, 22, 26, 26, 26, 51, 88, 68, 13, 1, 1, 12, 34, 50, 49, 31, 8, 1]}, {'name': 'Saturday', 'data': [1, 1, 1, 1, 1, 1, 11, 30, 44, 48, 41, 36, 42, 35, 11, 1, 11, 27, 42, 48, 43, 28, 11, 1]}, {'name': 'Sunday', 'data': [1, 1, 1, 1, 1, 1, 4, 17, 33, 48, 57, 57, 47, 32, 17, 8, 9, 25, 47, 54, 36, 9, 1, 1]}]",445,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"{'lat': 1.3392467, 'lng': 103.705417}",Prata Wala,"63 Jurong West Central 3, Singapore 648331",2.9,ChIJJ5LbK5MP2jERZktBd2oQxpM,"Prata Wala 63 Jurong West Central 3, Singapore 648331","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 4, 4, 16, 16, 4, 4, 4, 16, 20, 8, 4, 4, 8, 20, 37, 50, 45, 33, 16]}, {'name': 'Tuesday', 'data': [4, 0, 0, 0, 0, 4, 4, 4, 4, 12, 16, 16, 16, 12, 4, 4, 4, 8, 29, 50, 45, 50, 50, 25]}, {'name': 'Wednesday', 'data': [4, 0, 0, 0, 0, 4, 4, 4, 12, 16, 25, 25, 20, 16, 8, 4, 4, 4, 33, 54, 37, 33, 37, 29]}, {'name': 'Thursday', 'data': [12, 4, 0, 0, 0, 4, 4, 25, 25, 12, 12, 12, 12, 8, 4, 4, 4, 4, 16, 37, 54, 58, 41, 20]}, {'name': 'Friday', 'data': [4, 0, 0, 0, 0, 4, 8, 16, 16, 8, 12, 25, 33, 29, 16, 4, 4, 16, 33, 50, 58, 54, 41, 25]}, {'name': 'Saturday', 'data': [8, 4, 0, 0, 0, 0, 4, 4, 12, 12, 8, 12, 25, 33, 33, 20, 8, 8, 16, 45, 79, 95, 91, 66]}, {'name': 'Sunday', 'data': [33, 8, 4, 0, 0, 0, 4, 4, 4, 8, 16, 20, 25, 20, 16, 16, 33, 62, 66, 62, 83, 100, 62, 12]}]",54,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"{'lat': 1.3334936, 'lng': 103.7366467}",McDonald's Singapore Science Centre,"15 Science Centre Rd, Kinetic Garden Singapore Science Centre, Singapore 609081",3.7,ChIJY618FAQQ2jERpKUlvyZY_hY,"McDonald's Singapore Science Centre 15 Science Centre Rd, Kinetic Garden Singapore Science Centre, Singapore 609081","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 80, 80, 60, 30, 20, 30, 40, 40, 30, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 60, 80, 70, 40, 30, 30, 70, 100, 100, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 30, 50, 50, 60, 60, 20, 30, 90, 90, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 30, 60, 80, 60, 30, 20, 40, 90, 60, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 60, 60, 50, 30, 30, 40, 50, 50, 40, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 20, 30, 40, 60, 80, 70, 40, 50, 60, 0, 0, 0, 0]}]",31,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"{'lat': 1.344093, 'lng': 103.731233}",Shi Jian Hot Pot 食间火锅,"01-1237, Block 350, Jurong East Ave 1, Singapore 600350",4.9,ChIJbQ9Lrh8Q2jERLz9vzsL_IJ8,"Shi Jian Hot Pot 食间火锅 01-1237, Block 350, Jurong East Ave 1, Singapore 600350","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 7, 9, 14, 19, 23, 23, 16, 7, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 16, 33, 47, 45, 30, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 23, 33, 33, 23, 23, 42, 59, 42, 16, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 23, 19, 7, 4, 14, 33, 47, 35, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 9, 4, 2, 11, 35, 71, 83, 59, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 42, 38, 19, 7, 4, 21, 61, 100, 88, 42, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 59, 40, 4, 7, 28, 69, 90, 61, 23, 0, 0]}]",12,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"{'lat': 1.344528, 'lng': 103.731423}",Joo Siah Bak Koot Teh,"Blk 349 Jurong East Avenue 1 #01-1215, Singapore 600349",4.1,ChIJlS_61hgQ2jERtagY8-o8qb8,"Joo Siah Bak Koot Teh Blk 349 Jurong East Avenue 1 #01-1215, Singapore 600349","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 3, 22, 41, 45, 60, 64, 43, 21, 15, 17, 16, 10, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 9, 22, 26, 50, 99, 76, 22, 6, 10, 17, 21, 18, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 10, 14, 15, 31, 96, 100, 29, 9, 12, 15, 13, 8, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 12, 25, 32, 51, 69, 57, 29, 12, 10, 12, 13, 12, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 14, 33, 56, 75, 78, 65, 42, 22, 11, 17, 35, 29, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 26, 56, 58, 54, 84, 87, 42, 9, 0, 0, 0, 0, 0, 0, 0, 0]}]",56,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"{'lat': 1.3451628, 'lng': 103.7311151}",Yuhua Market & Hawker Centre,"347 Jurong East Ave 1, Singapore 600347",3.9,ChIJwYx9mx8Q2jERbnODLJmL8gc,"Yuhua Market & Hawker Centre 347 Jurong East Ave 1, Singapore 600347","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 10, 23, 29, 25, 24, 41, 57, 44, 20, 11, 13, 17, 18, 16, 12, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 14, 31, 41, 38, 31, 40, 57, 45, 17, 7, 10, 16, 19, 18, 13, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 13, 34, 46, 41, 36, 55, 75, 55, 24, 14, 16, 19, 19, 17, 12, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 15, 30, 36, 33, 34, 48, 58, 41, 19, 11, 13, 17, 18, 16, 11, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 14, 33, 44, 40, 33, 44, 62, 51, 23, 11, 13, 18, 21, 20, 16, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 10, 30, 51, 60, 60, 65, 68, 57, 39, 29, 25, 23, 20, 16, 11, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 6, 27, 59, 88, 100, 92, 76, 60, 47, 38, 32, 27, 22, 17, 11, 0, 0, 0]}]",234,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"{'lat': 1.3398558, 'lng': 103.7064039}",McDonald's Jurong Point,"1 Jurong West Central 2, #01-31 Jurong Point, Singapore 648886",4.4,ChIJmRnrx-wP2jERC51mSYA6zOU,"McDonald's Jurong Point 1 Jurong West Central 2, #01-31 Jurong Point, Singapore 648886","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 27, 27, 34, 51, 62, 58, 48, 41, 37, 41, 44, 37, 27, 17]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 13, 13, 24, 37, 48, 51, 51, 55, 62, 68, 72, 65, 48, 31]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 27, 24, 24, 31, 41, 48, 51, 48, 51, 62, 72, 68, 51, 27]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 13, 13, 20, 31, 37, 37, 37, 34, 41, 55, 68, 72, 58, 34]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 24, 20, 27, 37, 44, 55, 58, 65, 75, 86, 96, 96, 82, 58]}, {'name': 'Saturday', 'data': [31, 0, 0, 0, 0, 0, 0, 0, 0, 55, 65, 65, 55, 48, 41, 44, 51, 55, 58, 62, 68, 86, 100, 93]}, {'name': 'Sunday', 'data': [62, 0, 0, 0, 0, 0, 0, 0, 0, 55, 75, 72, 58, 58, 72, 86, 86, 75, 62, 58, 72, 79, 62, 34]}]",24,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"{'lat': 1.334463, 'lng': 103.721391}",Taman Jurong Market and Food Centre,"3 Yung Sheng Rd, Singapore 618499",4,ChIJHabbDPsP2jEROQtuba0GHhc,"Taman Jurong Market and Food Centre 3 Yung Sheng Rd, Singapore 618499","[{'name': 'Monday', 'data': [1, 1, 1, 1, 1, 1, 2, 7, 9, 7, 6, 24, 61, 46, 2, 1, 1, 12, 23, 27, 22, 9, 1, 1]}, {'name': 'Tuesday', 'data': [1, 1, 1, 1, 1, 1, 7, 16, 18, 15, 12, 38, 80, 52, 2, 1, 0, 12, 24, 29, 26, 15, 2, 1]}, {'name': 'Wednesday', 'data': [1, 1, 1, 1, 1, 1, 14, 25, 30, 27, 20, 41, 96, 68, 3, 1, 1, 11, 25, 32, 29, 17, 3, 1]}, {'name': 'Thursday', 'data': [1, 1, 1, 1, 1, 2, 15, 24, 25, 19, 13, 45, 100, 62, 1, 1, 1, 11, 22, 29, 28, 21, 9, 1]}, {'name': 'Friday', 'data': [1, 1, 1, 1, 1, 2, 13, 22, 26, 26, 26, 51, 88, 68, 13, 1, 1, 12, 34, 50, 49, 31, 8, 1]}, {'name': 'Saturday', 'data': [1, 1, 1, 1, 1, 1, 11, 30, 44, 48, 41, 36, 42, 35, 11, 1, 11, 27, 42, 48, 43, 28, 11, 1]}, {'name': 'Sunday', 'data': [1, 1, 1, 1, 1, 1, 4, 17, 33, 48, 57, 57, 47, 32, 17, 8, 9, 25, 47, 54, 36, 9, 1, 1]}]",445,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"{'lat': 1.3390044, 'lng': 103.7056325}",Swensen's,"63 Jurong West Central 3, #B1-64 Jurong Point Shopping Centre, Singapore",2.8,ChIJy64vxOwP2jERHW_bbUn5Tqc,"Swensen's 63 Jurong West Central 3, #B1-64 Jurong Point Shopping Centre, Singapore","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 20, 30, 20, 20, 30, 30, 20, 10, 30, 80, 70, 20, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 40, 50, 60, 40, 30, 30, 40, 50, 50, 30, 10, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 20, 30, 30, 20, 20, 40, 70, 70, 70, 60, 50, 20, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 50, 40, 10, 20, 50, 80, 100, 100, 70, 40, 10, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 50, 70, 70, 50, 30, 20, 30, 60, 80, 80, 60, 30, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 20, 40, 40, 40, 40, 40, 50, 50, 50, 50, 40, 20, 10, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 20, 30, 40, 40, 40, 50, 60, 60, 50, 60, 80, 60, 10, 0]}]",21,"['restaurant', 'food', 'point_of_interest', 'establishment']"
